root,shuffled,id,valid_words,length,Set
heavy,vayhe,536,"['yahve', 'heavy']",5,SetD
bottom,ootmbt,537,['bottom'],6,SetD
damn,namd,538,['damn'],4,SetD
coach,cahco,539,"['accho', 'coach']",5,SetD
square,useqra,540,['square'],6,SetD
poor,rpoo,541,['poor'],4,SetD
train,tnria,542,"['riant', 'train']",5,SetD
raised,sriead,543,"['arised', 'raised', 'raides', 'saider', 'draies']",6,SetD
born,bonr,544,"['brno', 'born']",4,SetD
costs,sosct,545,"['scots', 'costs']",5,SetD
agreed,grdeea,546,"['rageed', 'dragee', 'geared', 'agreed', 'ageder']",6,SetD
walk,lwak,547,['walk'],4,SetD
claim,mclia,548,['claim'],5,SetD
demand,aenddm,549,"['madden', 'damned', 'demand']",6,SetD
pick,kpci,550,['pick'],4,SetD
hotel,ohelt,551,"['hotel', 'thole', 'helot']",5,SetD
engine,gneine,552,['engine'],6,SetD
hair,ihra,553,['hair'],4,SetD
judge,gjeud,554,"['judge', 'juged']",5,SetD
mental,elntam,555,"['mantel', 'lament', 'mental', 'mantle']",6,SetD
door,orod,556,"['rood', 'door', 'odor']",4,SetD
reach,eahcr,557,['reach'],5,SetD
fourth,tfruho,558,['fourth'],6,SetD
code,eodc,559,"['code', 'deco']",4,SetD
floor,foolr,560,['floor'],5,SetD
forced,foderc,561,['forced'],6,SetD
sign,sngi,562,"['sing', 'sign', 'gins']",4,SetD
